,author,reviewBody,reviewRating,ratingMaxvalue,dateCreated,reviewUrl,reviewSource,name,address,Sentiment
0,Dermot Dunne,"Stunning new university campus near Dublin city centre- a centre of excellence in music and drama with superb facilities including a 400-seater concert hall, smaller recital hall and theatre",5.0,5.0,2014,https://www.google.com/maps/contrib/117218062795471980358/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegQIARB5,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
1,jorge garcia rey,"Great campus to go for a walk, and with a couple of options to easily gain access during the day: Stonneybatter and North Circular road. It has some nice views of the mountains and good tracks for running as well as a good children's playground.",5.0,5.0,2014,https://www.google.com/maps/contrib/101831307353727533429/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegUIARD-AQ,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
2,Omar Nicolai,I know this building has over 200 years of varied history that you can find lots of resources on but visually is very interesting. You could explore the outside with your eyes and spend lots of time on that alone. Well worth a look. #exploreirishhistory,5.0,5.0,2014,https://www.google.com/maps/contrib/106972427415951950843/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegQIARBe,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
3,ruth connolly,Great place to sit or exercise. Well kept safe area. Great view of Dublin and the mountains. Close to conveniences.,5.0,5.0,2014,https://www.google.com/maps/contrib/109046592166188370196/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegUIARC3AQ,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
4,Fintan Moloney,"Nice college grounds area for walking, jogging, exercise along with sports facilities and childrenÃ¢â‚¬â„¢s playground. Snacks and Tea / Coffee etc also available. Well connected to Dublin City centre, Luas Green line, Stoneybatter and North Circular Road.",5.0,5.0,2014,https://www.google.com/maps/contrib/105298876193952489297/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegUIARCTAQ,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
5,Hiberniaworld Group,"Lots of teenegers and youths making trouble whole day long. Disturbing other visitors, kids, parents. Demage the buildings, facilities, steel the coffee van, Making fire, using fireworks.... Better to avoid this place!",5.0,5.0,2014,https://www.google.com/maps/contrib/104918391472842150935/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegQIARAb,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
6,John Rock,"Excellent campus, really beautiful and modern. Makes me want to be a student again!",5.0,5.0,2015,https://www.google.com/maps/contrib/102029328729066843350/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegUIARDNAQ,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
7,Dr. Ajmal Ayub,"Great team, great people, great campus, good working place",5.0,5.0,2015,https://www.google.com/maps/contrib/106816028624961908853/reviews?hl=en-US&sa=X&ved=2ahUKEwjKppKIwtr6AhXAD0QIHdJtBSkQvfQBegQIARBE,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
8,Andre Skyberg,"Amazing campus with a good vibe, just missing a proper cafÃƒÂ©.",5.0,5.0,2015,https://www.google.com/maps/contrib/115143907862639243946/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegQIARAC,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
9,Alan Kelly,"Played a match on the GAA pitch vs St Brendan's, paid parking via apcoa app and run down changing rooms, pitch was in great condition though. Not sure what the rest of the campus is like.",4.0,5.0,2015,https://www.google.com/maps/contrib/115508643687314498816/reviews?hl=en-US&sa=X&ved=2ahUKEwjgnNCIwtr6AhUDHEQIHXSnCGoQvfQBegQIARBH,www.google.com,"TU Dublin, Aungier Street","TU Dublin, Aungier Street",1.0
