author,reviewBody,reviewRating,ratingMaxvalue,dateCreated,reviewUrl,reviewSource,name,address,Sentiment
nora coyle,Very efficient and all staff were very professional and friendly.,5,5,a year ago,https://www.google.com/maps/contrib/110601484793930423117/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARDPAQ,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
SJK JO,Good University with world class infrastructure.,5,5,2 weeks ago,https://www.google.com/maps/contrib/111131701786841125619/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARA0,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
Riaran Coarty,"Been here before for an evening course, good course, well delivered. Looking forward to starting again this September.",4,5,5 years ago,https://www.google.com/maps/contrib/113799074705504296766/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARDlAQ,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
Anna Carnie,Treated beautifully thank you,5,5,a year ago,https://www.google.com/maps/contrib/104902009925727509368/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegUIARCcAQ,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
Micheal O Herlihy,"Getting the vaccine, well run!",5,5,a year ago,https://www.google.com/maps/contrib/104856313827042841367/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegQIARBa,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
Judith Ogu,For vaccination...very very orderly,5,5,a year ago,https://www.google.com/maps/contrib/103629271879808936649/reviews?hl=en-US&sa=X&ved=2ahUKEwiv-afr6uP7AhXPFmIAHdtlAoIQvfQBegUIARCyAQ,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
Adam Friel,"In for the jab, very well organized, fair play to everyone involved 🙌",5,5,a year ago,https://www.google.com/maps/contrib/102191255275306872734/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARC5AQ,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
Zain ali,Great place. I really find this place my 2nd home. Most of things are automated here which is very interesting for me. LYIT is equipped with latest technology and with every needy services which makes it a unique institute. The faculty is very helpful and cooperative here which makes students more comfortable like their own home. My very Best wishes for LYIT.,5,5,a year ago,https://www.google.com/maps/contrib/106969379379940162187/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARAY,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
Joe Carroll,Top class expertise thanks for my first vaccine so Happy,5,5,a year ago,https://www.google.com/maps/contrib/106687577334993139891/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegUIARCjAQ,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
Sean Harris,"Went to hub for covid vaccination, easy to find but long delay, one and half hours 🙄",4,5,a year ago,https://www.google.com/maps/contrib/111291117785883711097/reviews?hl=en-US&sa=X&ved=2ahUKEwic8Ovq6uP7AhUHEFkFHa3VAgEQvfQBegQIARBh,www.google.com,Atlantic Technological University - Donegal Letterkenny Campus,"Port Rd, Gortlee, Letterkenny, County Donegal, Ireland",
